기관코드,전체기관명,최하위기관명,폐지구분,등록자
7530602,경기도교육청 명지외국어고등학교,명지외국어고등학교,현존,
7530603,경기도교육청 비봉고등학교,비봉고등학교,현존,
7530604,경기도교육청 파주고등학교,파주고등학교,현존,
7530605,경기도교육청 용문고등학교,용문고등학교,현존,
7530606,경기도교육청 양동고등학교,양동고등학교,현존,
7530607,경기도교육청 양일고등학교,양일고등학교,현존,
7530608,경기도교육청 다산고등학교,다산고등학교,현존,
7530609,경기도교육청 양곡고등학교,양곡고등학교,현존,
7530611,경기도교육청 구성고등학교,구성고등학교,현존,
7530612,경기도교육청 천천고등학교,천천고등학교,현존,
7530613,경기도교육청 조원고등학교,조원고등학교,현존,
7530616,경기도교육청 상일고등학교,상일고등학교,현존,
7530617,경기도교육청 송내고등학교,송내고등학교,현존,
7530619,경기도교육청 덕계고등학교,덕계고등학교,현존,
7530620,경기도교육청 효양고등학교,효양고등학교,현존,
7530621,경기도교육청 풍무고등학교,풍무고등학교,현존,
7530625,경기도교육청 늘푸른고등학교,늘푸른고등학교,현존,
7530626,경기도교육청 충훈고등학교,충훈고등학교,현존,
7530627,경기도교육청 병점고등학교,병점고등학교,현존,
7530628,경기도교육청 명문고등학교,명문고등학교,현존,
7530629,경기도교육청 금곡고등학교,금곡고등학교,현존,
7530630,경기도교육청 문산제일고등학교,문산제일고등학교,현존,
7530632,경기도교육청 곤지암고등학교,곤지암고등학교,현존,
7530633,경기도교육청 가평고등학교,가평고등학교,현존,
7530648,경기도교육청 지평고등학교,지평고등학교,현존,
7530649,경기도교육청 마장고등학교,마장고등학교,현존,
7530650,경기도교육청 백암고등학교,백암고등학교,현존,
7530651,경기도교육청 하성고등학교,하성고등학교,현존,
7530652,경기도교육청 매탄고등학교,매탄고등학교,현존,
7530654,경기도교육청 단원고등학교,단원고등학교,현존,
7530655,경기도교육청 동두천외국어고등학교,동두천외국어고등학교,현존,
7530656,경기도교육청 금촌고등학교,금촌고등학교,현존,
7530657,경기도교육청 신장고등학교,신장고등학교,현존,
7530658,경기도교육청 보정고등학교,보정고등학교,현존,
7530660,경기도교육청 삼괴고등학교,삼괴고등학교,현존,
7530661,경기도교육청 통진고등학교,통진고등학교,현존,
7530662,경기도교육청 성보정보고등학교,성보정보고등학교,현존,
7530663,경기도교육청 의정부광동고등학교,의정부광동고등학교,현존,
7530664,경기도교육청 은혜고등학교,은혜고등학교,현존,
7530665,경기도교육청 송산고등학교,송산고등학교,현존,
7530666,경기도교육청 한국외국어대학교부속외국어고등학교,한국외국어대학교부속외국어고등학교,현존,
7530745,경기도교육청 김포외국어고등학교,김포외국어고등학교,현존,
7530746,경기도교육청 양주백석고등학교,양주백석고등학교,현존,
7530761,경기도교육청 수원외국어고등학교,수원외국어고등학교,현존,
7530762,경기도교육청 성남외국어고등학교,성남외국어고등학교,현존,
7530763,경기도교육청 범박고등학교,범박고등학교,현존,
